code,name,prev,open,last,amount_yi,d1_pct,last_date,d5_pct,d20_pct,d60_pct,d250_pct,ytd_pct,vol63_ann_pct,vol21_ann_pct,snapshot_date
801010,农林牧渔,2493.64,2488.83,2463.07,17443.52,-1.225918737267595,2026-08-10,2.695000411827686,6.810471850049682,-8.905798504436646,-11.11317062390168,-16.354488125587007,24.643385140425334,22.520558637627097,2026-08-11
801030,基础化工,4465.24,4445.57,4395.96,114502.89,-1.551540342736335,2026-08-10,8.05073877082858,6.760582238289259,-8.976865262424038,17.712312336061785,2.1235525650730835,29.867108458496883,32.48388980353838,2026-08-11
801040,钢铁,2233.61,2233.28,2200.18,8367.0,-1.4966802619974073,2026-08-10,-0.9683211775920464,8.11068517550484,-12.724040246165869,-11.799733852465799,-16.042008878397517,22.637713237029008,22.846120326548338,2026-08-11
801050,有色金属,8887.69,8872.35,8496.06,202314.28,-4.406431817491397,2026-08-10,13.647511636233457,18.112918187206482,-2.175159680847427,58.53266550367271,5.69774480620413,45.1473826939795,47.9966815831276,2026-08-11
801080,电子,8931.97,8811.1,8853.98,625878.15,-0.8731556420364162,2026-08-10,16.947645720241212,-12.55100881933675,-0.7802528490226224,79.45412171257506,36.27877739278234,62.96094911546647,75.62182768447902,2026-08-11
801110,家用电器,8699.81,8681.67,8716.29,18779.09,0.18942942432078613,2026-08-10,0.2618389344814842,3.416995944063239,-6.611312086048294,1.8888497200337584,-5.57970983034366,13.021095171307378,14.529890329009765,2026-08-11
801120,食品饮料,14487.07,14460.63,14376.85,30676.56,-0.7608163693555658,2026-08-10,-0.4325085910652948,9.655495540228776,-3.0994384784404527,-14.264502231112486,-10.671847801891865,22.051327904315528,24.49505092048459,2026-08-11
801130,纺织服饰,1559.91,1557.63,1562.23,12476.86,0.1487265290946338,2026-08-10,4.566326359608275,6.234123551965798,-9.334968497895979,-3.074456781762036,-7.813820451147368,23.491919124517306,28.584272419222557,2026-08-11
801140,轻工制造,2102.11,2094.49,2088.88,13972.45,-0.6293676353758881,2026-08-10,4.392499230257352,5.74100343061803,-16.7108448533403,-3.4613406322905327,-13.665728895003792,21.674501685397903,28.693678298669056,2026-08-11
801150,医药生物,8171.9,8134.48,8197.52,196445.39,0.3135133812210311,2026-08-10,8.324893821216662,8.523847783215244,3.4901112038407733,-8.037271693993997,1.0797057619353234,30.694499214727493,36.4581285256184,2026-08-11
801160,公用事业,2510.96,2507.77,2517.16,48186.95,0.2469175136202706,2026-08-10,-1.0388914287515982,4.110588684064309,-8.70929391276527,5.280017442128604,3.7578201833042835,22.867014353909312,21.621196789239317,2026-08-11
801170,交通运输,2090.25,2083.58,2060.26,21932.42,-1.4347566080612273,2026-08-10,-1.289225756180501,6.392454674091197,-4.829441975668402,-7.166839875289788,-8.33523365141735,18.02742299928437,15.578757499777494,2026-08-11
801180,房地产,1898.04,1892.5,1897.28,12589.92,-0.04004130576805709,2026-08-10,2.894873796513142,3.339685305166862,-13.025706823076577,-12.897585689439172,-13.611185704727625,22.445773521712276,25.953247556035723,2026-08-11
801200,商贸零售,1830.96,1826.85,1823.91,15634.15,-0.3850439113907478,2026-08-10,0.7300474778427546,9.820480677530984,-11.124055278064981,-18.82171422490999,-24.421383725682023,25.97636972315229,28.00665554824589,2026-08-11
801210,社会服务,7396.33,7355.61,7307.2,10247.02,-1.205057102644147,2026-08-10,3.8714107961902444,9.84621325194739,-10.782787008835681,-15.09089781973807,-15.60958968191849,25.766936264950317,33.52000670415541,2026-08-11
801230,综合,4236.01,4213.7,4208.79,2697.92,-0.642585829589648,2026-08-10,6.975892600093947,-4.521685427194566,-13.70983677019696,35.03637302594249,7.973888529203355,47.51993077714479,52.406254659734984,2026-08-11
801710,建筑材料,6193.76,6115.73,6146.28,35234.68,-0.7665779752525248,2026-08-10,12.820176541091532,-2.0572877957449998,-4.749924261414229,23.515522797613354,15.493813923566746,48.10129886841851,56.298726761042886,2026-08-11
801720,建筑装饰,1961.8,1956.76,1960.94,27044.7,-0.043837,2026-08-10,1.7990483257486423,1.4689148650046446,-13.740491579826763,-5.209652013413091,-7.679131097704451,19.872264984087543,21.724435358692702,2026-08-11
801730,电力设备,9579.34,9547.65,9560.1,165526.84,-0.20084891025895502,2026-08-10,3.8140754708802183,4.0896580125763915,-18.493749197006004,25.017324836441812,-5.044393317757423,33.29711727520242,35.447350630180196,2026-08-11
801740,国防军工,1698.12,1670.13,1657.71,58060.78,-2.3796904812380615,2026-08-10,6.594186068408803,-1.3145507165521875,-16.27741868686122,-2.5720760779138874,-14.265807702405242,35.161026837576024,41.22201200854053,2026-08-11
801750,计算机,4630.69,4627.64,4610.06,124252.07,-0.4455059613146073,2026-08-10,4.161099489394249,3.944125450619307,-11.081646760628294,-8.211197754581823,-11.140683826943976,35.56920157598592,40.12465345019102,2026-08-11
801760,传媒,714.52,715.21,708.86,49980.18,-0.7921401780216053,2026-08-10,3.288665307833538,9.711793879650532,-10.271125566676286,-4.781449893390189,-12.830460295965551,33.740387935656635,43.80121335122815,2026-08-11
801770,通信,6909.04,6930.51,6986.31,156736.04,1.1183898197144604,2026-08-10,5.6861221417951135,-14.669288284972538,-15.80225037869878,89.79002076717686,25.58420218412365,65.21082603409015,81.3990917527188,2026-08-11
801780,银行,3960.45,3961.95,3957.65,21220.59,-0.07069903672561884,2026-08-10,-3.7152922127650423,2.4481285940074704,0.818420181757995,-8.532107125370691,-5.3203442505379,18.857343196694664,21.263341381529862,2026-08-11
801790,非银金融,1765.22,1762.9,1749.07,32058.34,-0.9149001257633627,2026-08-10,-1.6031393883989775,1.7646617971763146,0.3787189518697165,-12.422542059227727,-14.065253585442072,28.261165403880113,19.145435025137775,2026-08-11
801880,汽车,6624.66,6603.78,6584.87,57715.5,-0.6006345986058093,2026-08-10,2.040923205835954,3.9625495907196218,-16.60349188085458,-8.154242244007548,-16.951948752021462,25.527820607312528,29.26978707120704,2026-08-11
801890,机械设备,2255.12,2243.21,2242.28,153469.81,-0.5693710312533073,2026-08-10,9.72271552919539,-2.9212477076858256,-11.679603969702434,26.692846589025777,4.853700836460173,39.59468790958071,51.94746332836235,2026-08-11
801950,煤炭,3302.66,3336.32,3294.41,13466.52,-0.24979864715108935,2026-08-10,5.970987335436062,10.638910849960471,3.8555997547208287,23.244159013646694,20.017733782492254,34.07881301090347,34.46996798303768,2026-08-11
801960,石油石化,2679.0,2703.23,2690.66,20008.76,0.4352370287420637,2026-08-10,2.2889979190927834,11.899152924665435,-7.608583193659857,16.158572277167615,3.5666514609121958,27.498293246192002,30.59083944547996,2026-08-11
801970,环保,1951.65,1944.62,1938.15,15944.06,-0.691722388747984,2026-08-10,4.14854502083879,5.090705450942612,-11.960140383799933,3.6463284457166623,-0.34975746744957403,25.27236127878167,32.63880240165115,2026-08-11
801980,美容护理,3591.79,3585.27,3559.76,3648.92,-0.8917559211423787,2026-08-10,0.7771969843634707,10.538382943102631,-7.709009432629033,-25.648902367078264,-17.912825271164046,27.38442994717897,30.954196942800642,2026-08-11
